Timestamp,Mag_X,Mag_Y,Mag_Z,Ori_X,Ori_Y,Ori_Z,Position
1754854723.082,-0.184247,5.655437,7.972885,-73.584401,-34.63189,1.142133,2
1754854723.092,-0.185444,5.65424,7.995617,-73.586122,-34.682406,1.111834,2
1754854723.101,-0.153141,5.645865,8.024331,-73.590084,-34.69078,1.107499,2
1754854723.111,-0.142373,5.613562,8.094919,-73.598936,-34.68884,1.106719,2
1754854723.12,-0.113659,5.631508,8.182257,-73.612514,-34.676304,1.106659,2
1754854723.13,-0.095713,5.645865,8.254042,-73.629023,-34.660297,1.103784,2
1754854723.139,-0.088534,5.669793,8.316256,-73.646563,-34.646309,1.099954,2
1754854723.149,-0.088534,5.665008,8.347362,-73.661172,-34.639451,1.098616,2
1754854723.158,-0.125623,5.626722,8.318648,-73.670994,-34.64259,1.102165,2
1754854723.168,-0.193819,5.614758,8.224132,-73.674341,-34.657128,1.111608,2
1754854723.177,-0.264407,5.638687,8.082955,-73.668064,-34.68369,1.123774,2
1754854723.186,-0.327817,5.630311,7.954939,-73.668064,-34.68369,1.123774,2
1754854723.196,-0.34337,5.65424,7.84128,-73.632151,-34.757224,1.141161,2
1754854723.205,-0.33021,5.643472,7.76112,-73.611578,-34.788349,1.142041,2
1754854723.215,-0.269193,5.63749,7.773084,-73.594933,-34.805688,1.140364,2
1754854723.224,-0.191426,5.662615,7.864012,-73.586942,-34.803649,1.135595,2
1754854723.234,-0.119641,5.656633,7.986045,-73.58591,-34.783073,1.132925,2
1754854723.243,-0.087338,5.647061,8.128419,-73.591204,-34.746074,1.135639,2
1754854723.253,-0.069392,5.625526,8.285149,-73.599427,-34.699441,1.144062,2
1754854723.262,-0.100499,5.602794,8.413164,-73.609816,-34.649393,1.154924,2
1754854723.272,-0.180658,5.599205,8.49811,-73.617924,-34.604467,1.170353,2
1754854723.281,-0.259621,5.588437,8.500503,-73.6203,-34.570398,1.188884,2
1754854723.291,-0.32662,5.576473,8.476574,-73.620492,-34.549412,1.205034,2
1754854723.3,-0.307478,5.596812,8.403593,-73.621298,-34.54025,1.218995,2
1754854723.309,-0.270389,5.600401,8.311469,-73.621298,-34.54025,1.218995,2
1754854723.319,-0.209372,5.631508,8.222935,-73.639227,-34.553749,1.232324,2
1754854723.328,-0.167498,5.65424,8.157132,-73.654356,-34.567673,1.231841,2
1754854723.338,-0.142373,5.662615,8.111669,-73.668877,-34.581422,1.229606,2
1754854723.347,-0.118445,5.681757,8.1344,-73.681075,-34.59205,1.223724,2
1754854723.357,-0.098106,5.694918,8.155936,-73.691847,-34.599006,1.214713,2
1754854723.366,-0.092124,5.6674,8.177471,-73.702959,-34.605205,1.206935,2
1754854723.376,-0.092124,5.660222,8.190632,-73.715657,-34.607298,1.19973,2
1754854723.385,-0.113659,5.673382,8.202596,-73.728573,-34.608388,1.192624,2
1754854723.395,-0.098106,5.673382,8.2014,-73.741646,-34.612127,1.18909,2
1754854723.404,-0.099302,5.668597,8.200203,-73.757041,-34.618506,1.184092,2
1754854723.413,-0.074178,5.686543,8.161918,-73.757041,-34.618506,1.184092,2
1754854723.423,-0.071785,5.723632,8.148758,-73.78275,-34.641394,1.160305,2
1754854723.432,-0.066999,5.754738,8.163115,-73.787346,-34.659382,1.138747,2
1754854723.442,-0.09332,5.720043,8.160722,-73.787189,-34.677881,1.116358,2
1754854723.451,-0.095713,5.7009,8.178668,-73.783269,-34.694516,1.102933,2
1754854723.461,-0.130409,5.693721,8.143971,-73.780175,-34.709498,1.095099,2
1754854723.47,-0.160319,5.686543,8.106883,-73.775851,-34.725081,1.092176,2
1754854723.48,-0.195015,5.703293,8.081758,-73.771774,-34.739292,1.090801,2
1754854723.489,-0.167498,5.722435,8.063812,-73.767935,-34.754055,1.089356,2
1754854723.499,-0.11007,5.722435,8.026724,-73.766275,-34.767206,1.081525,2
1754854723.508,-0.068195,5.696115,8.033902,-73.765756,-34.777643,1.066432,2
1754854723.518,-0.047856,5.720043,8.054241,-73.763543,-34.780153,1.04968,2
1754854723.527,-0.071785,5.697311,8.10808,-73.755497,-34.778773,1.035708,2
1754854723.536,-0.096909,5.653043,8.185846,-73.755497,-34.778773,1.035708,2
1754854723.546,-0.131605,5.600401,8.245667,-73.735314,-34.753871,1.029006,2
1754854723.555,-0.171087,5.595616,8.292327,-73.732138,-34.738257,1.036969,2
1754854723.565,-0.226122,5.601598,8.251649,-73.732404,-34.730255,1.050095,2
1754854723.574,-0.242871,5.636294,8.1679,-73.730301,-34.737147,1.066692,2
